source_file;entrypoint_from_main;depth;function;function_camel_case;called_by;path_from_main
src/imageCompositeConverter.py;main;4;_normalizeRangeToken;_normalizeRangeToken;_matchesPartialRangeToken;main > convertRange > _inRequestedRange > _matchesPartialRangeToken > _normalizeRangeToken
src/imageCompositeConverter.py;main;5;getBaseNameFromFile;getBaseNameFromFile;_normalizeRangeToken;main > convertRange > _inRequestedRange > _matchesPartialRangeToken > _normalizeRangeToken > getBaseNameFromFile
src/imageCompositeConverter.py;main;4;getBaseNameFromFile;getBaseNameFromFile;_matchesPartialRangeToken;main > convertRange > _inRequestedRange > _matchesPartialRangeToken > getBaseNameFromFile
src/imageCompositeConverter.py;main;2;_renderEmbeddedRasterSvg;_renderEmbeddedRasterSvg;convertRange;main > convertRange > _renderEmbeddedRasterSvg
src/imageCompositeConverter.py;main;3;_sniffRasterSize;_sniffRasterSize;_renderEmbeddedRasterSvg;main > convertRange > _renderEmbeddedRasterSvg > _sniffRasterSize
src/imageCompositeConverter.py;main;3;_svgHrefMimeType;_svgHrefMimeType;_renderEmbeddedRasterSvg;main > convertRange > _renderEmbeddedRasterSvg > _svgHrefMimeType
src/imageCompositeConverter.py;main;2;_createDiffImageWithoutCv2;_createDiffImageWithoutCv2;convertRange;main > convertRange > _createDiffImageWithoutCv2
src/imageCompositeConverter.py;main;2;_conversionRandom;_conversionRandom;convertRange;main > convertRange > _conversionRandom
src/imageCompositeConverter.py;main;2;_loadExistingConversionRows;_loadExistingConversionRows;convertRange;main > convertRange > _loadExistingConversionRows
src/imageCompositeConverter.py;main;3;_reportsOutputDir;_reportsOutputDir;_loadExistingConversionRows;main > convertRange > _loadExistingConversionRows > _reportsOutputDir
src/imageCompositeConverter.py;main;3;_convertedSvgOutputDir;_convertedSvgOutputDir;_loadExistingConversionRows;main > convertRange > _loadExistingConversionRows > _convertedSvgOutputDir
src/imageCompositeConverter.py;main;3;_readSvgGeometry;_readSvgGeometry;_loadExistingConversionRows;main > convertRange > _loadExistingConversionRows > _readSvgGeometry
src/imageCompositeConverter.py;main;3;getBaseNameFromFile;getBaseNameFromFile;_loadExistingConversionRows;main > convertRange > _loadExistingConversionRows > getBaseNameFromFile
src/imageCompositeConverter.py;main;3;_isSemanticTemplateVariant;_isSemanticTemplateVariant;_loadExistingConversionRows;main > convertRange > _loadExistingConversionRows > _isSemanticTemplateVariant
src/imageCompositeConverter.py;main;4;getBaseNameFromFile;getBaseNameFromFile;_isSemanticTemplateVariant;main > convertRange > _loadExistingConversionRows > _isSemanticTemplateVariant > getBaseNameFromFile
src/imageCompositeConverter.py;main;3;_sniffRasterSize;_sniffRasterSize;_loadExistingConversionRows;main > convertRange > _loadExistingConversionRows > _sniffRasterSize
src/imageCompositeConverter.py;main;2;runIterationPipeline;runIterationPipeline;convertRange;main > convertRange > runIterationPipeline
src/imageCompositeConverter.py;main;3;getBaseNameFromFile;getBaseNameFromFile;runIterationPipeline;main > convertRange > runIterationPipeline > getBaseNameFromFile
src/imageCompositeConverter.py;main;3;_semanticAuditRecord;_semanticAuditRecord;runIterationPipeline;main > convertRange > runIterationPipeline > _semanticAuditRecord
src/imageCompositeConverter.py;main;4;getBaseNameFromFile;getBaseNameFromFile;_semanticAuditRecord;main > convertRange > runIterationPipeline > _semanticAuditRecord > getBaseNameFromFile
src/imageCompositeConverter.py;main;3;_semanticAuditRecord;_semanticAuditRecord;runIterationPipeline;main > convertRange > runIterationPipeline > _semanticAuditRecord
src/imageCompositeConverter.py;main;4;getBaseNameFromFile;getBaseNameFromFile;_semanticAuditRecord;main > convertRange > runIterationPipeline > _semanticAuditRecord > getBaseNameFromFile
src/imageCompositeConverter.py;main;3;_semanticQualityFlags;_semanticQualityFlags;runIterationPipeline;main > convertRange > runIterationPipeline > _semanticQualityFlags
src/imageCompositeConverter.py;main;4;getBaseNameFromFile;getBaseNameFromFile;_semanticQualityFlags;main > convertRange > runIterationPipeline > _semanticQualityFlags > getBaseNameFromFile
src/imageCompositeConverter.py;main;3;_semanticAuditRecord;_semanticAuditRecord;runIterationPipeline;main > convertRange > runIterationPipeline > _semanticAuditRecord
src/imageCompositeConverter.py;main;4;getBaseNameFromFile;getBaseNameFromFile;_semanticAuditRecord;main > convertRange > runIterationPipeline > _semanticAuditRecord > getBaseNameFromFile
