class_id,example_image_id,status,in samples,count_in_class
DLG0060,DLG0060,not_satisfactory,,1
DLG0061,DLG0061,not_satisfactory,,1
GE0001,GE0001_1_L,not_satisfactory,,6
GE0002,GE0002_L,not_satisfactory,,3
GE0003,GE0003_L,not_satisfactory,,3
GE0004,GE0004_L,not_satisfactory,,3
GE0010,GE0010,not_satisfactory,,1
GE0011,GE0011,not_satisfactory,,4
GE0012,GE0012,not_satisfactory,,4
GE0013,GE0013,not_satisfactory,,4
GE0014,GE0014,not_satisfactory,,4
GE0015,GE0015,not_satisfactory,,4
GE0016,GE0016,not_satisfactory,,2
GE0017,GE0017,not_satisfactory,,1
GE0018,GE0018,not_satisfactory,,1
GE0019,GE0019,not_satisfactory,,1
GE0020,GE0020,not_satisfactory,,1
GE0021,GE0021,not_satisfactory,,4
GE0022,GE0022,not_satisfactory,,10
GE0023,GE0023,not_satisfactory,,7
GE0024,GE0024,not_satisfactory,,1
GE0025,GE0025,not_satisfactory,,1
GE0026,GE0026,not_satisfactory,,1
GE0027,GE0027,not_satisfactory,,1
GE0028,GE0028,not_satisfactory,,1
GE0029,GE0029,not_satisfactory,,1
GE0030,GE0030,not_satisfactory,,1
GE0031,GE0031,not_satisfactory,,4
GE0032,GE0032,not_satisfactory,,4
GE0033,GE0033,not_satisfactory,,4
GE0034,GE0034,not_satisfactory,,4
GE0035,GE0035,not_satisfactory,,4
GE0036,GE0036,not_satisfactory,,4
GE0037,GE0037,not_satisfactory,,4
GE0038,GE0038_L,not_satisfactory,,3
GE0039,GE0039_L,not_satisfactory,,3
GE0040,GE0040_L,not_satisfactory,,3
GE0041,GE0041_L,not_satisfactory,,4
GE0042,GE0042_L,not_satisfactory,,3
GE0043,GE0043_L,not_satisfactory,,3
GE0044,GE0044_L,not_satisfactory,,3
GE0045,GE0045_L,not_satisfactory,,3
GE0100,GE0100_L,not_satisfactory,,3
GE0101,GE0101_L,not_satisfactory,,3
GE0102,GE0102_L,not_satisfactory,,3
GE0103,GE0103_L,not_satisfactory,,3
GE0104,GE0104_L,not_satisfactory,,3
GE0105,GE0105_L,not_satisfactory,,3
GE0106,GE0106_L,not_satisfactory,,3
GE0107,GE0107_L,not_satisfactory,,3
GE0108,GE0108_L,not_satisfactory,,3
GE0109,GE0109_L,not_satisfactory,,3
GE0110,GE0110_L,not_satisfactory,,3
GE0111,GE0111_L,not_satisfactory,,3
GE0201,GE0201_L,not_satisfactory,,3
GE0202,GE0202_L,not_satisfactory,,3
GE0203,GE0203_L,not_satisfactory,,3
GE0204,GE0204_L,not_satisfactory,,3
GE0205,GE0205_L,not_satisfactory,,3
GE0206,GE0206_L,not_satisfactory,,3
GE0280,GE0280,not_satisfactory,,1
GE0281,GE0281,not_satisfactory,,1
GE0282,GE0282,not_satisfactory,,1
GE0283,GE0283,not_satisfactory,,1
GE0284,GE0284,not_satisfactory,,1
GE0285,GE0285,not_satisfactory,,1
GE0300,GE0300,not_satisfactory,,1
GE0301,GE0301,not_satisfactory,,4
GE0302,GE0302,not_satisfactory,,4
GE0303,GE0303,not_satisfactory,,4
GE0304,GE0304,not_satisfactory,,4
GE0305,GE0305,not_satisfactory,,4
GE0306,GE0306,not_satisfactory,,4
GE0307,GE0307,not_satisfactory,,4
GE0308,GE0308,not_satisfactory,,4
GE0309,GE0309,not_satisfactory,,1
GE0310,GE0310,not_satisfactory,,1
GE0344,GE0344,not_satisfactory,,1
GE0346,GE0346,not_satisfactory,,1
GE0347,GE0347,not_satisfactory,,1
GE0348,GE0348,not_satisfactory,,1
GE0349,GE0349,not_satisfactory,,1
GE0350,GE0350,not_satisfactory,,1
GE0351,GE0351,not_satisfactory,,1
GE0352,GE0352,not_satisfactory,,1
GE0353,GE0353,not_satisfactory,,1
GE0354,GE0354,not_satisfactory,,1
GE0355,GE0355,not_satisfactory,,1
GE0356,GE0356,not_satisfactory,,1
GE0357,GE0357,not_satisfactory,,1
GE0358,GE0358,not_satisfactory,,1
GE0360,GE0360,not_satisfactory,,1
GE0361,GE0361,not_satisfactory,,1
GE0362,GE0362,not_satisfactory,,1
GE0363,GE0363,not_satisfactory,,1
GE0364,GE0364,not_satisfactory,,1
GE0365,GE0365,not_satisfactory,,1
GE0999,GE0999,not_satisfactory,,1
GE1000,GE1000_L,not_satisfactory,,3
GE1001,GE1001_L,not_satisfactory,,3
GE1002,GE1002_L,not_satisfactory,,3
GE1003,GE1003_L,not_satisfactory,,3
GE1100,GE1100_L,not_satisfactory,,3
GE1101,GE1101_L,not_satisfactory,,3
GE1102,GE1102_L,not_satisfactory,,3
GE1200,GE1200_L,not_satisfactory,,3
GE1201,GE1201_L,not_satisfactory,,3
GE1202,GE1202_L,not_satisfactory,,3
GE1203,GE1203_L,not_satisfactory,,3
GE1204,GE1204_L,not_satisfactory,,3
GE1300,GE1300_M,not_satisfactory,,2
GE1301,GE1301_M,not_satisfactory,,2
GE1302,GE1302_M,not_satisfactory,,2
GE1310,GE1310_M,not_satisfactory,,2
GE1311,GE1311_M,not_satisfactory,,2
GE1312,GE1312_M,not_satisfactory,,2
GE1313,GE1313_M,not_satisfactory,,2
GE1401,GE1401_L,not_satisfactory,,3
GE1402,GE1402_L,not_satisfactory,,3
GE1403,GE1403_L,not_satisfactory,,3
GE1404,GE1404_L,not_satisfactory,,3
GE1410,GE1410_L,not_satisfactory,,3
GE1411,GE1411_L,not_satisfactory,,3
GE1420,GE1420_L,not_satisfactory,,4
GE9000,GE9000,not_satisfactory,,1
GE9001,GE9001_1M,not_satisfactory,,15
GE9002,GE9002_1M,not_satisfactory,,14
GE9005,GE9005_1M,not_satisfactory,,14
GE9006,GE9006_1M,not_satisfactory,,14
GE9011,GE9011_1M,not_satisfactory,,14
GE9012,GE9012_1M,not_satisfactory,,14
GE9013,GE9013_1M,not_satisfactory,,14
GE9014,GE9014_1M,not_satisfactory,,14
GE9021,GE9021_1M,not_satisfactory,,14
GE9022,GE9022_1M,not_satisfactory,,14
GE9023,GE9023_1M,not_satisfactory,,14
GE9024,GE9024_1M,not_satisfactory,,14
GE9031,GE9031_1M,not_satisfactory,,14
GE9032,GE9032_1M,not_satisfactory,,14
GE9033,GE9033_1M,not_satisfactory,,14
GE9034,GE9034_1M,not_satisfactory,,14
GE9035,GE9035_2S,not_satisfactory,,1
GE9041,GE9041_1M,not_satisfactory,,14
GE9042,GE9042_1M,not_satisfactory,,14
GE9043,GE9043_1M,not_satisfactory,,14
GE9044,GE9044_1M,not_satisfactory,,14
GE9901,GE9901_L,not_satisfactory,,5
GE9902,GE9902_L,not_satisfactory,,5
GE9910,GE9910_L,not_satisfactory,,5
L60x,L60x,not_satisfactory,,6
L79x,L79x_LCD,not_satisfactory,,3
LFT,LFT_Tuer,not_satisfactory,,1
NAV0000,NAV0000,not_satisfactory,,1
PC,PC,not_satisfactory,,1
PCD,PCD,not_satisfactory,,1
Rail,Rail,not_satisfactory,,1
