image_id,status,in samples
AC0304_S_sia,not_satisfactory,
AC0401_1L_sia,not_satisfactory,
AC0401_1M_sia,not_satisfactory,
AC0401_1S_sia,not_satisfactory,
AC0401_1_L,not_satisfactory,
AC0401_1_M,not_satisfactory,
AC0401_1_S,not_satisfactory,
AC0401_2L_sia,not_satisfactory,
AC0401_2M_sia,not_satisfactory,
AC0401_2S_sia,not_satisfactory,
AC0401_2_L,not_satisfactory,
AC0401_2_M,not_satisfactory,
AC0401_2_S,not_satisfactory,
AC0401_L,not_satisfactory,
AC0401_L_sia,not_satisfactory,
AC0401_M,not_satisfactory,
AC0401_M_sia,not_satisfactory,
AC0401_S,not_satisfactory,
AC0401_S_sia,not_satisfactory,
AC0402,not_satisfactory,
AC0402_1,not_satisfactory,
AC0402_1L_sia,not_satisfactory,
AC0402_1M_sia,not_satisfactory,
AC0402_1S_sia,not_satisfactory,
AC0402_1_L,not_satisfactory,
AC0402_1_M,not_satisfactory,
AC0402_1_S,not_satisfactory,
AC0402_2,not_satisfactory,
AC0402_2L_sia,not_satisfactory,
AC0402_2M_sia,not_satisfactory,
AC0402_2S_sia,not_satisfactory,
AC0402_2_L,not_satisfactory,
AC0402_2_M,not_satisfactory,
AC0402_2_S,not_satisfactory,
AC0402_L,not_satisfactory,
AC0402_L_sia,not_satisfactory,
AC0402_M,not_satisfactory,
AC0402_M_sia,not_satisfactory,
AC0402_S,not_satisfactory,
AC0402_S_sia,not_satisfactory,
AC0403_1L_sia,not_satisfactory,
AC0403_1M_sia,not_satisfactory,
AC0403_1S_sia,not_satisfactory,
AC0403_1_L,not_satisfactory,
AC0403_1_M,not_satisfactory,
AC0403_1_S,not_satisfactory,
AC0403_2L_sia,not_satisfactory,
AC0403_2M_sia,not_satisfactory,
AC0403_2S_sia,not_satisfactory,
AC0403_2_L,not_satisfactory,
AC0403_2_M,not_satisfactory,
AC0403_2_S,not_satisfactory,
AC0403_L,not_satisfactory,
AC0403_L_sia,not_satisfactory,
AC0403_M,not_satisfactory,
AC0403_M_sia,not_satisfactory,
AC0403_S,not_satisfactory,
AC0403_S_sia,not_satisfactory,
AC0404_1L_sia,not_satisfactory,
AC0404_1M_sia,not_satisfactory,
AC0404_1S_sia,not_satisfactory,
AC0404_1_L,not_satisfactory,
AC0404_1_M,not_satisfactory,
AC0404_1_S,not_satisfactory,
AC0404_2L_sia,not_satisfactory,
AC0404_2M_sia,not_satisfactory,
AC0404_2S_sia,not_satisfactory,
AC0404_2_L,not_satisfactory,
AC0404_2_M,not_satisfactory,
AC0404_2_S,not_satisfactory,
AC0404_L,not_satisfactory,
AC0404_L_sia,not_satisfactory,
AC0404_M,not_satisfactory,
AC0404_M_sia,not_satisfactory,
AC0404_S,not_satisfactory,
AC0404_S_sia,not_satisfactory,
AC0411_1_L,not_satisfactory,
AC0411_1_M,not_satisfactory,
AC0411_1_S,not_satisfactory,
AC0411_2_L,not_satisfactory,
AC0411_2_M,not_satisfactory,
AC0411_2_S,not_satisfactory,
AC0411_L,not_satisfactory,
AC0411_M,not_satisfactory,
AC0411_S,not_satisfactory,
AC0412,not_satisfactory,
AC0412_1,not_satisfactory,
AC0412_1_L,not_satisfactory,
AC0412_1_M,not_satisfactory,
AC0412_1_S,not_satisfactory,
AC0412_2,not_satisfactory,
AC0412_2_L,not_satisfactory,
AC0412_2_M,not_satisfactory,
AC0412_2_S,not_satisfactory,
AC0412_L,not_satisfactory,
AC0412_M,not_satisfactory,
AC0412_S,not_satisfactory,
AC0413_1_L,not_satisfactory,
AC0413_1_M,not_satisfactory,
AC0413_1_S,not_satisfactory,
AC0413_2_L,not_satisfactory,
AC0413_2_M,not_satisfactory,
AC0413_2_S,not_satisfactory,
AC0413_L,not_satisfactory,
AC0413_M,not_satisfactory,
AC0413_S,not_satisfactory,
AC0414_1_L,not_satisfactory,
AC0414_1_M,not_satisfactory,
AC0414_1_S,not_satisfactory,
AC0414_2_L,not_satisfactory,
AC0414_2_M,not_satisfactory,
AC0414_2_S,not_satisfactory,
AC0414_L,not_satisfactory,
AC0414_M,not_satisfactory,
AC0414_S,not_satisfactory,
AC0421_1_L,not_satisfactory,
AC0421_1_M,not_satisfactory,
AC0421_1_S,not_satisfactory,
AC0421_2_L,not_satisfactory,
AC0421_2_M,not_satisfactory,
AC0421_2_S,not_satisfactory,
AC0421_L,not_satisfactory,
AC0421_M,not_satisfactory,
AC0421_S,not_satisfactory,
AC0422_1_L,not_satisfactory,
AC0422_1_M,not_satisfactory,
AC0422_1_S,not_satisfactory,
AC0422_2_L,not_satisfactory,
AC0422_2_M,not_satisfactory,
AC0422_2_S,not_satisfactory,
AC0422_L,not_satisfactory,
AC0422_M,not_satisfactory,
AC0422_S,not_satisfactory,
AC0423_1_L,not_satisfactory,
AC0423_1_M,not_satisfactory,
AC0423_1_S,not_satisfactory,
AC0423_2_L,not_satisfactory,
AC0423_2_M,not_satisfactory,
AC0423_2_S,not_satisfactory,
AC0423_L,not_satisfactory,
AC0423_M,not_satisfactory,
AC0423_S,not_satisfactory,
AC0424_1_L,not_satisfactory,
AC0424_1_M,not_satisfactory,
AC0424_1_S,not_satisfactory,
AC0424_2_L,not_satisfactory,
AC0424_2_M,not_satisfactory,
AC0424_2_S,not_satisfactory,
AC0424_L,not_satisfactory,
AC0424_M,not_satisfactory,
AC0424_S,not_satisfactory,
AC0501_1L_sia,not_satisfactory,
AC0501_1M_sia,not_satisfactory,
AC0501_1S_sia,not_satisfactory,
AC0501_1_L,not_satisfactory,
AC0501_1_M,not_satisfactory,
AC0501_1_S,not_satisfactory,
AC0501_2L_sia,not_satisfactory,
AC0501_2M_sia,not_satisfactory,
AC0501_2S_sia,not_satisfactory,
