variant,source,image_path,svg_path,width,height,mean_delta2,normalized_mse,status,image_area
AC0533_2S_sia,diff_inventory,artifacts/images_to_convert/AC0533_2S_sia.jpg,artifacts/converted_images/converted_svgs/AC0533_2S_sia.svg,20,40,3789.811279296875,0.019427457538366655,ok,800
AC0536_1M_sia,diff_inventory,artifacts/images_to_convert/AC0536_1M_sia.jpg,artifacts/converted_images/converted_svgs/AC0536_1M_sia.svg,60,30,6982.5849609375,0.035794360942906576,ok,1800
AC0536_2M_sia,diff_inventory,artifacts/images_to_convert/AC0536_2M_sia.jpg,artifacts/converted_images/converted_svgs/AC0536_2M_sia.svg,60,30,5685.67724609375,0.0291461091687492,ok,1800
AC0537_L_sia,diff_inventory,artifacts/images_to_convert/AC0537_L_sia.jpg,artifacts/converted_images/converted_svgs/AC0537_L_sia.svg,40,80,2819.878173828125,0.014455353960415866,ok,3200
AC0538_2L_sia,diff_inventory,artifacts/images_to_convert/AC0538_2L_sia.jpg,artifacts/converted_images/converted_svgs/AC0538_2L_sia.svg,80,40,8315.3564453125,0.04262645877386902,ok,3200
AC0541_2_S,diff_inventory,artifacts/images_to_convert/AC0541_2_S.jpg,artifacts/converted_images/converted_svgs/AC0541_2_S.svg,20,20,24401.337890625,0.12508695573817763,ok,400
AC0541_S,diff_inventory,artifacts/images_to_convert/AC0541_S.jpg,artifacts/converted_images/converted_svgs/AC0541_S.svg,20,20,9246.4873046875,0.047399652978021276,ok,400
AC0542_1_L,diff_inventory,artifacts/images_to_convert/AC0542_1_L.jpg,artifacts/converted_images/converted_svgs/AC0542_1_L.svg,40,40,41568.58984375,0.21309029780212738,ok,1600
AC0542_2_S,diff_inventory,artifacts/images_to_convert/AC0542_2_S.jpg,artifacts/converted_images/converted_svgs/AC0542_2_S.svg,20,20,25188.142578125,0.12912030028514673,ok,400
AC0542_L,diff_inventory,artifacts/images_to_convert/AC0542_L.jpg,artifacts/converted_images/converted_svgs/AC0542_L.svg,40,40,10402.0546875,0.05332336120722799,ok,1600
AC0551_2_M,diff_inventory,artifacts/images_to_convert/AC0551_2_M.jpg,artifacts/converted_images/converted_svgs/AC0551_2_M.svg,30,60,41198.9765625,0.2111955738177624,ok,1800
AC0551_2_S,diff_inventory,artifacts/images_to_convert/AC0551_2_S.jpg,artifacts/converted_images/converted_svgs/AC0551_2_S.svg,20,40,33217.92578125,0.17028284393822887,ok,800
AC0551_S,diff_inventory,artifacts/images_to_convert/AC0551_S.jpg,artifacts/converted_images/converted_svgs/AC0551_S.svg,20,40,43816.703125,0.224614651416122,ok,800
