Dateiname;Gefundene Elemente;Beste Iteration;Diff-Score;FehlerProPixel
SE0102.jpg;SEMANTIC: senkrechter Strich hinter dem Kreis + SEMANTIC: Kreis + Buchstabe CO_2 + SEMANTIC: waagrechter Strich rechts vom Kreis + REFERENZ: Abgeleitet aus AC0831;1;28.01;0.02917643
SE0120.jpg;;1;30.72;0.04915200
Unbenannt.JPG;;1;7.12;0.00316240
b_settings.jpg;;1;23.70;0.00893716
btn_hwater.jpg;MANUELL: Beschreibung fordert manuelle Zuordnung zu einer finalen Wurzelform-Kategorie.;1;19.43;0.00069518
btn_sanitary.jpg;MANUELL: Beschreibung fordert manuelle Zuordnung zu einer finalen Wurzelform-Kategorie.;1;16.85;0.00060309
btn_sett.jpg;;1;20.54;0.00073501
weather03.jpg;;1;35.40;0.00951381
z_205.jpg;;1;33.72;0.08265651
z_247.jpg;;1;34.88;0.11325336
z_298.jpg;;1;24.04;0.09039045
z_299.jpg;;1;27.27;0.10252605
