variant;filename;status;best_iter;best_error;error_per_pixel;mean_delta2;std_delta2
AC0870_M;AC0870_M.jpg;;0;;;5953.522461;10372.234375
AC0882_L;AC0882_L.jpg;;1;19.544000;0.01737244;2166.453369;7459.955566
AC0882_M;AC0882_M.jpg;;0;;;5050.285645;14081.818359
AC0882_S;AC0882_S.jpg;;0;;;4982.791992;11059.020508
AC0900_L;AC0900_L.jpg;;1;9.098286;0.00129976;2648.142090;9518.000000
AC0901_M;AC0901_M.jpg;;1;11.770000;0.00267500;3437.090576;11139.907227
AC0911_S;AC0911_S.jpg;;1;35.978667;0.09594311;7606.432129;12932.383789
AC0932_L;AC0932_L.jpg;;1;21.785778;0.01936514;5653.378906;13066.987305
AC1000_S;AC1000_S.jpg;;1;40.248889;0.17888395;7024.533203;7817.070801
AC1001_S;AC1001_S.jpg;;1;39.016000;0.10404267;8723.351562;14084.593750
AC5000_S;AC5000_S.jpg;;1;29.865000;0.01244375;4834.712402;6747.701172
AC5010_L_PKW;AC5010_L_PKW.jpg;;1;25.434473;0.00072463;5489.251953;10009.908203
AC5010_S;AC5010_S.jpg;;1;41.193701;0.00302895;7771.408203;7179.608398
AC5030_L;AC5030_L.jpg;;1;33.569582;0.00041650;5492.958496;7484.493652
AC5030_S;AC5030_S.jpg;;1;30.911147;0.00164859;4801.227539;6965.904785
AC5050_S;AC5050_S.jpg;;1;17.163895;0.00180673;3781.008789;9794.889648
AR0043;AR0043.jpg;;1;32.643796;0.01866426;5243.197266;8252.979492
BACKCOLORFULLSCREEN;BackColorFullScreen.JPG;;1;0.550000;0.00137500;1.650000;1.492481
BTN_HWATER;btn_hwater.jpg;;1;19.426743;0.00069518;3228.312500;9768.433594
BTN_SANITARY;btn_sanitary.jpg;;1;16.853450;0.00060309;2669.182861;12128.317383
BTN_SETT;btn_sett.jpg;;1;20.539989;0.00073501;4330.593262;15140.400391
B_SETTINGS;b_settings.jpg;;1;23.701357;0.00893716;3912.939697;9160.630859
DLG0003;DLG0003.jpg;;1;10.224885;0.00037127;531.337524;1201.255127
DLG0013;DLG0013.JPG;;1;8.144495;0.00093080;812.381592;1926.845337
DLG0021;DLG0021.jpg;;1;52.089699;0.09043351;24856.818359;48274.359375
DLG0030;DLG0030.jpg;;1;22.039352;0.03826276;9307.538086;29625.648438
GE0001_L;GE0001_L.jpg;;1;46.213129;0.00943125;12545.183594;21118.392578
GE0002_M;GE0002_M.jpg;;1;17.050463;0.00473624;2775.494629;7817.653809
GE0004_M;GE0004_M.jpg;;1;17.531574;0.00486988;2834.804199;7686.378418
GE0011;GE0011.jpg;;1;8.683458;0.00001104;396.873688;1378.317993
GE0012_M;GE0012_M.jpg;;1;30.959259;0.00859979;5395.835449;9780.855469
GE0015_L;GE0015_L.jpg;;1;33.679252;0.00687332;8108.188477;13158.759766
GE0021_M;GE0021_M.jpg;;1;10.376481;0.00288236;583.314453;743.072998
GE0023_1_M;GE0023_1_M.jpg;;1;19.406111;0.00539059;2770.625488;4004.759033
GE0023_S;GE0023_S.jpg;;1;19.872000;0.00794880;3330.854492;9490.303711
GE0027;GE0027.jpg;;1;21.164821;0.00397163;3797.856934;9531.346680
GE0032_S;GE0032_S.jpg;;1;19.186000;0.00767440;3269.802002;8322.847656
GE0033_S;GE0033_S.jpg;;1;29.831467;0.01193259;4935.145508;6294.757324
GE0034_S;GE0034_S.jpg;;1;30.746933;0.01229877;5215.950195;6498.232910
GE0036_M;GE0036_M.jpg;;1;26.333426;0.00731484;5833.505371;11388.647461
GE0043_M;GE0043_M.jpg;;1;22.527407;0.02503045;2283.028809;1759.241089
GE0045_L;GE0045_L.jpg;;1;25.547483;0.02085509;4525.251465;7020.154297
GE0045_S;GE0045_S.jpg;;1;14.531733;0.02325077;1543.966431;3888.466064
GE0100_M;GE0100_M.jpg;;1;11.329238;0.00161846;701.311707;1498.651611
GE0107_S;GE0107_S.jpg;;1;17.475746;0.00332871;3385.678467;12754.688477
GE0109_S;GE0109_S.jpg;;1;15.849397;0.00301893;1604.467773;5287.133789
GE0202_M;GE0202_M.jpg;;1;16.923426;0.00470095;1812.744141;2744.040283
GE0202_S;GE0202_S.jpg;;1;17.480267;0.00699211;2366.996094;6113.651367
GE0205_L;GE0205_L.jpg;;1;21.045238;0.00429495;3722.814697;8082.244141
GE0206_L;GE0206_L.jpg;;1;16.132653;0.00329238;1902.384033;2980.780518
GE0285;GE0285.jpg;;1;33.877500;0.08469375;6444.557617;4188.212891
GE0304_L;GE0304_L.jpg;;1;26.690340;0.00544701;6432.481445;14149.903320
GE0308_L;GE0308_L.jpg;;1;39.222993;0.00800469;10305.499023;15033.322266
GE0347;GE0347.jpg;;1;29.502756;0.00524493;6631.317871;12727.389648
GE0350;GE0350.jpg;;1;18.700741;0.00332458;3107.675781;8737.037109
GE0355;GE0355.jpg;;1;23.837926;0.00423785;5781.439453;12903.722656
GE0365;GE0365.jpg;;1;22.863384;0.00423239;4646.467773;11156.545898
GE0999;GE0999.jpg;;1;11.257067;0.00200126;618.262573;933.686157
GE1001_M;GE1001_M.jpg;;1;41.303467;0.06608555;15903.426758;31123.531250
GE1003_L;GE1003_L.jpg;;1;37.615185;0.04179465;15097.363281;32459.689453
GE1100_S;GE1100_S.jpg;;1;14.190000;0.02838000;1391.258057;2202.641357
GE1101_S;GE1101_S.jpg;;1;17.660000;0.03532000;1726.495972;2192.776123
GE1310_M;GE1310_M.jpg;;1;1.808889;0.00096474;93.208000;287.348633
